
//KLAS-VAK-DOCENT-combinaties
//datum: 1-11-2011
//versie 1
//ontdek je iets "vreemds" : mail even naar j.grobben@hr.nl 


1B1 ; NED ; BAARR
1B2 ; NED ; BALSG
1B3 ; NED ; BEERR
1V1 ; NED ; BERRE
1V2 ; NED ; BAARR
1H1 ; NED ; BALSG
1H2 ; NED ; BEERR
1M1 ; NED ; BERRE
1M2 ; NED ; BAARR
1M3 ; NED ; BALSG
2V1 ; NED ; BEERR
2V2 ; NED ; BERRE
2V3 ; NED ; BAARR
2H1 ; NED ; BALSG
2H2 ; NED ; BEERR
2H3 ; NED ; BERRE
2M1 ; NED ; BAARR
2M2 ; NED ; BALSG
2M3 ; NED ; BEERR
2M4 ; NED ; BERRE
3V1 ; NED ; BAARR
3V2 ; NED ; BALSG
3H1 ; NED ; BEERR
3H2 ; NED ; BERRE
3H3 ; NED ; BAARR
3M1 ; NED ; BALSG
3M2 ; NED ; BEERR
3M3 ; NED ; BERRE
4V1 ; NED ; BAARR
4V2 ; NED ; BALSG
4H1 ; NED ; BEERR
4H2 ; NED ; BERRE
4M1 ; NED ; BAARR
4M2 ; NED ; BALSG
4M3 ; NED ; BEERR
5V1 ; NED ; BERRE
5V2 ; NED ; BAARR
5H1 ; NED ; BALSG
5H2 ; NED ; BEERR
6V1 ; NED ; BERRE
6V2 ; NED ; BAARR
1B1 ; ENG ; BABER
1B2 ; ENG ; BARAA
1B3 ; ENG ; BENOA
1V1 ; ENG ; BEUKR
1V2 ; ENG ; BABER
1H1 ; ENG ; BARAA
1H2 ; ENG ; BENOA
1M1 ; ENG ; BEUKR
1M2 ; ENG ; BABER
1M3 ; ENG ; BARAA
2V1 ; ENG ; BENOA
2V2 ; ENG ; BEUKR
2V3 ; ENG ; BABER
2H1 ; ENG ; BARAA
2H2 ; ENG ; BENOA
2H3 ; ENG ; BEUKR
2M1 ; ENG ; BABER
2M2 ; ENG ; BARAA
2M3 ; ENG ; BENOA
2M4 ; ENG ; BEUKR
3V1 ; ENG ; BABER
3V2 ; ENG ; BARAA
3H1 ; ENG ; BENOA
3H2 ; ENG ; BEUKR
3H3 ; ENG ; BABER
3M1 ; ENG ; BARAA
3M2 ; ENG ; BENOA
3M3 ; ENG ; BEUKR
4V1 ; ENG ; BABER
4V2 ; ENG ; BARAA
4H1 ; ENG ; BENOA
4H2 ; ENG ; BEUKR
4M1 ; ENG ; BABER
4M2 ; ENG ; BARAA
4M3 ; ENG ; BENOA
5V1 ; ENG ; BEUKR
5V2 ; ENG ; BABER
5H1 ; ENG ; BARAA
5H2 ; ENG ; BENOA
6V1 ; ENG ; BEUKR
6V2 ; ENG ; BABER
2V1 ; DUI ; BEELM
2V2 ; DUI ; BEUKJ
2V3 ; DUI ; BACUL
